,Country,age,Gender,slug,years,date_of_information,ranking,region,Population
0,Afghanistan,75.0,Male,afghanistan,19.9,2023,203,South Asia,42.2
1,Albania,57.0,Male,albania,35.8,2023,90,Europe,2.8
2,Algeria,79.0,Male,algeria,28.9,2023,143,Africa,45.6
3,Andorra,75.0,Male,andorra,48.1,2023,5,Europe,0.0
4,Angola,70.0,Male,angola,16.2,2023,225,Africa,36.7
5,Antigua and Barbuda,80.0,Male,antigua-and-barbuda,33.6,2023,107,Central America and the Caribbean,0.1
6,Argentina,65.0,Male,argentina,33.0,2023,110,South America,45.8
7,Armenia,65.0,Male,armenia,38.3,2023,69,Middle East,2.8
8,Australia,71.0,Male,australia,37.9,2023,76,Australia and Oceania,26.4
9,Austria,52.0,Male,austria,44.8,2023,20,Europe,9.0
10,Azerbaijan,63.0,Male,azerbaijan,33.8,2023,105,Middle East,10.4
11,Bahrain,74.0,Male,bahrain,33.3,2023,108,Middle East,1.5
12,Bangladesh,75.0,Male,bangladesh,29.2,2023,142,South Asia,173.0
13,Barbados,75.0,Female,barbados,41.0,2023,50,Central America and the Caribbean,0.3
14,Belarus,70.0,Male,belarus,41.7,2023,47,Europe,9.5
15,Belgium,64.0,Male,belgium,41.9,2023,46,Europe,11.7
16,Belize,73.0,Male,belize,26.4,2023,160,Central America and the Caribbean,0.4
17,Benin,66.0,Male,benin,17.1,2023,221,Africa,13.7
18,Bhutan,44.0,Male,bhutan,30.2,2023,132,South Asia,0.8
19,Bolivia,61.0,Male,bolivia,26.2,2023,161,South America,12.4
20,Bosnia and Herzegovina,65.0,Male,bosnia-and-herzegovina,44.4,2023,28,Europe,3.2
21,Botswana,63.0,Male,botswana,26.8,2023,159,Africa,2.7
22,Brazil,69.0,Male,brazil,34.7,2023,99,South America,216.4
23,Brunei,78.0,Male,brunei,32.0,2023,114,East and Southeast Asia,0.5
24,Bulgaria,61.0,Male,bulgaria,44.7,2023,25,Europe,6.7
25,Burkina Faso,43.0,Male,burkina-faso,18.5,2023,216,Africa,23.3
26,Burundi,56.0,Male,burundi,18.2,2023,219,Africa,13.2
27,Cambodia,71.0,Male,cambodia,27.6,2023,152,East and Southeast Asia,16.9
28,Cameroon,91.0,Male,cameroon,18.8,2023,214,Africa,28.6
29,Canada,53.0,Male,canada,42.4,2023,39,North America,38.8
30,Central African Republic,67.0,Male,central-african-republic,20.2,2023,200,Africa,5.7
31,Chad,40.0,Male,chad,16.5,2023,223,Africa,18.3
32,Chile,38.0,Male,chile,36.6,2023,84,South America,19.6
33,China,71.0,Male,china,39.8,2023,62,East and Southeast Asia,1425.7
34,Colombia,64.0,Male,colombia,32.4,2023,112,South America,52.1
35,Comoros,65.0,Male,comoros,22.3,2023,181,Africa,0.9
36,Costa Rica,63.0,Male,costa-rica,35.0,2023,96,Central America and the Caribbean,5.2
37,Croatia,58.0,Male,croatia,44.8,2023,22,Europe,4.0
38,Cuba,64.0,Male,cuba,42.3,2023,42,Central America and the Caribbean,11.2
39,Curacao,53.0,Male,curacao,37.5,2023,79,Central America and the Caribbean,0.2
40,Cyprus,78.0,Male,cyprus,39.1,2023,65,Europe,1.3
41,Djibouti,77.0,Male,djibouti,26.0,2023,163,Africa,1.1
42,Dominica,76.0,Male,dominica,36.5,2023,85,Central America and the Caribbean,0.0
43,Dominican Republic,57.0,Male,dominican-republic,28.9,2023,144,Central America and the Caribbean,11.3
44,Egypt,70.0,Male,egypt,24.1,2023,175,Africa,112.7
45,El Salvador,43.0,Male,el-salvador,29.2,2023,141,Central America and the Caribbean,6.4
46,Equatorial Guinea,82.0,Male,equatorial-guinea,21.9,2023,184,Africa,1.7
47,Eritrea,78.0,Male,eritrea,21.0,2023,190,Africa,3.7
48,Estonia,51.0,Female,estonia,44.7,2023,24,Europe,1.3
49,Ethiopia,48.0,Male,ethiopia,20.2,2023,201,Africa,126.5
50,Faroe Islands,60.0,Male,faroe-islands,36.8,2023,82,Europe,0.0
51,Fiji,70.0,Male,fiji,31.2,2023,122,Australia and Oceania,0.9
52,Finland,76.0,Female,finland,43.2,2023,36,Europe,5.5
53,France,47.0,Male,france,42.4,2023,41,Europe,64.8
54,French Polynesia,75.0,Male,french-polynesia,34.8,2023,98,Australia and Oceania,0.3
55,Gabon,89.0,Male,gabon,21.8,2023,185,Africa,2.4
56,Georgia,72.0,Female,georgia,38.0,2023,75,Middle East,3.7
57,Germany,70.0,Female,germany,46.7,2023,8,Europe,83.3
58,Ghana,80.0,Male,ghana,21.3,2023,189,Africa,34.1
59,Greece,50.0,Male,greece,46.2,2023,10,Europe,10.3
60,Grenada,79.0,Male,grenada,35.0,2023,94,Central America and the Caribbean,0.1
61,Guatemala,68.0,Male,guatemala,24.4,2023,172,Central America and the Caribbean,18.1
