Country,Age,Gender,slug, years,date_of_information,ranking,region
Afghanistan,75.0,Male,afghanistan,19.9,2023,203,South Asia
Albania,57.0,Male,albania,35.8,2023,90,Europe
Algeria,79.0,Male,algeria,28.9,2023,143,Africa
Andorra,75.0,Male,andorra,48.1,2023,5,Europe
Angola,70.0,Male,angola,16.2,2023,225,Africa
Antigua and Barbuda,80.0,Male,antigua-and-barbuda,33.6,2023,107,Central America and the Caribbean
Argentina,65.0,Male,argentina,33.0,2023,110,South America
Armenia,65.0,Male,armenia,38.3,2023,69,Middle East
Australia,71.0,Male,australia,37.9,2023,76,Australia and Oceania
Austria,52.0,Male,austria,44.8,2023,20,Europe
Azerbaijan,63.0,Male,azerbaijan,33.8,2023,105,Middle East
Bahrain,74.0,Male,bahrain,33.3,2023,108,Middle East
Bangladesh,75.0,Male,bangladesh,29.2,2023,142,South Asia
Barbados,75.0,Female,barbados,41.0,2023,50,Central America and the Caribbean
Belarus,70.0,Male,belarus,41.7,2023,47,Europe
Belgium,64.0,Male,belgium,41.9,2023,46,Europe
Belize,73.0,Male,belize,26.4,2023,160,Central America and the Caribbean
Benin,66.0,Male,benin,17.1,2023,221,Africa
Bhutan,44.0,Male,bhutan,30.2,2023,132,South Asia
Bolivia,61.0,Male,bolivia,26.2,2023,161,South America
Bosnia and Herzegovina,65.0,Male,bosnia-and-herzegovina,44.4,2023,28,Europe
Botswana,63.0,Male,botswana,26.8,2023,159,Africa
Brazil,69.0,Male,brazil,34.7,2023,99,South America
Brunei,78.0,Male,brunei,32.0,2023,114,East and Southeast Asia
Bulgaria,61.0,Male,bulgaria,44.7,2023,25,Europe
Burkina Faso,43.0,Male,burkina-faso,18.5,2023,216,Africa
Burundi,56.0,Male,burundi,18.2,2023,219,Africa
Cambodia,71.0,Male,cambodia,27.6,2023,152,East and Southeast Asia
Cameroon,91.0,Male,cameroon,18.8,2023,214,Africa
Canada,53.0,Male,canada,42.4,2023,39,North America
Central African Republic,67.0,Male,central-african-republic,20.2,2023,200,Africa
Chad,40.0,Male,chad,16.5,2023,223,Africa
Chile,38.0,Male,chile,36.6,2023,84,South America
China,71.0,Male,china,39.8,2023,62,East and Southeast Asia
Colombia,64.0,Male,colombia,32.4,2023,112,South America
Comoros,65.0,Male,comoros,22.3,2023,181,Africa
Costa Rica,63.0,Male,costa-rica,35.0,2023,96,Central America and the Caribbean
Croatia,58.0,Male,croatia,44.8,2023,22,Europe
Cuba,64.0,Male,cuba,42.3,2023,42,Central America and the Caribbean
Curacao,53.0,Male,curacao,37.5,2023,79,Central America and the Caribbean
Cyprus,78.0,Male,cyprus,39.1,2023,65,Europe
Djibouti,77.0,Male,djibouti,26.0,2023,163,Africa
Dominica,76.0,Male,dominica,36.5,2023,85,Central America and the Caribbean
Dominican Republic,57.0,Male,dominican-republic,28.9,2023,144,Central America and the Caribbean
Egypt,70.0,Male,egypt,24.1,2023,175,Africa
El Salvador,43.0,Male,el-salvador,29.2,2023,141,Central America and the Caribbean
Equatorial Guinea,82.0,Male,equatorial-guinea,21.9,2023,184,Africa
Eritrea,78.0,Male,eritrea,21.0,2023,190,Africa
Estonia,51.0,Female,estonia,44.7,2023,24,Europe
Ethiopia,48.0,Male,ethiopia,20.2,2023,201,Africa
Faroe Islands,60.0,Male,faroe-islands,36.8,2023,82,Europe
Fiji,70.0,Male,fiji,31.2,2023,122,Australia and Oceania
Finland,76.0,Female,finland,43.2,2023,36,Europe
France,47.0,Male,france,42.4,2023,41,Europe
French Polynesia,75.0,Male,french-polynesia,34.8,2023,98,Australia and Oceania
Gabon,89.0,Male,gabon,21.8,2023,185,Africa
Georgia,72.0,Female,georgia,38.0,2023,75,Middle East
Germany,70.0,Female,germany,46.7,2023,8,Europe
Ghana,80.0,Male,ghana,21.3,2023,189,Africa
Greece,50.0,Male,greece,46.2,2023,10,Europe
Grenada,79.0,Male,grenada,35.0,2023,94,Central America and the Caribbean
Guatemala,68.0,Male,guatemala,24.4,2023,172,Central America and the Caribbean
Guinea,44.0,Male,guinea,19.3,2023,206,Africa
Guinea-Bissau,52.0,Male,guinea-bissau,18.3,2023,217,Africa
Guyana,44.0,Male,guyana,27.9,2023,149,South America
Haiti,75.0,Male,haiti,24.7,2023,170,Central America and the Caribbean
Honduras,65.0,Female,honduras,25.3,2023,166,Central America and the Caribbean
Hungary,47.0,Female,hungary,44.5,2023,27,Europe
Iceland,56.0,Male,iceland,37.8,2023,77,Europe
India,74.0,Male,india,29.5,2023,139,South Asia
Indonesia,63.0,Male,indonesia,31.2,2023,123,East and Southeast Asia
Iran,85.0,Male,iran,33.3,2023,109,Middle East
Iraq,64.0,Male,iraq,22.1,2023,182,Middle East
Ireland,83.0,Male,ireland,39.8,2023,60,Europe
Israel,52.0,Male,israel,30.1,2023,137,Middle East
Italy,47.0,Female,italy,48.1,2023,4,Europe
Jamaica,79.0,Male,jamaica,30.5,2023,129,Central America and the Caribbean
Japan,67.0,Male,japan,49.5,2023,3,East and Southeast Asia
Jordan,62.0,Male,jordan,24.6,2023,171,Middle East
Kazakhstan,71.0,Male,kazakhstan,31.7,2023,117,Central Asia
Kenya,58.0,Male,kenya,20.9,2023,194,Africa
Kosovo,42.0,Female,kosovo,31.7,2023,116,Europe
Kuwait,87.0,Male,kuwait,30.1,2023,138,Middle East
Kyrgyzstan,56.0,Male,kyrgyzstan,28.1,2023,148,Central Asia
Laos,79.0,Male,laos,25.0,2023,168,East and Southeast Asia
